"자치구별(1)",자치구별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,기타,기타,기타
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,소계,소계,소계
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,근린공원,근린공원,근린공원,어린이공원,어린이공원,소공원,소공원,묘지공원,묘지공원,문화공원,문화공원,체육공원,체육공원,역사공원,역사공원,수변공원,수변공원,생태공원,생태공원,가로공원,가로공원,소계,소계,소계
"자치구별(1)",자치구별(2),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡)
"합계",소계,2982,56,173146.3,1,5,37517.0,2306,48,119371.7,68,19,69221.4,418,29,43366.5,1236,2160.8,446,698.0,4,1939.4,78,881.7,9,291.5,22,510.2,13,225.8,2,51.4,10,24.8,675,3,16257.6
"합계",종로구,108,5,11448.3,-,1,5030.0,70,4,6239.0,3,2,3316.0,23,2,2721.1,20,55.0,16,21.9,-,-,4,11.9,-,-,4,113.0,-,-,-,-,-,-,38,-,179.3
"합계",중구,73,5,3224.5,-,-,-,57,5,3136.5,1,-,1789.8,4,5,1205.4,14,28.5,23,16.9,-,-,9,30.6,1,29.7,5,35.6,-,-,-,-,-,-,16,-,88.0
"합계",용산구,108,4,1791.8,-,-,-,69,4,775.4,-,1,54.9,6,3,555.8,23,41.4,28,57.3,-,-,7,45.1,-,-,3,17.5,-,-,-,-,2,3.5,39,-,1016.4
"합계",성동구,105,1,3085.7,-,-,-,65,1,1231.0,1,-,72.6,10,1,983.9,32,55.8,16,16.6,-,-,2,90.4,1,2.8,-,-,-,-,-,-,3,8.8,40,-,1854.7
"합계",광진구,68,2,3459.8,-,-,-,50,1,2993.9,1,-,2097.5,1,1,837.8,34,40.6,13,14.9,-,-,1,3.2,-,-,-,-,-,-,-,-,-,-,18,1,465.9
